IP;MAC;Máscara;DATA;NomeDNS;TAG
10.37.129.49;00:1A:3F:37:4E:48;255.255.255.0;2024-09-19 09:55:29;10.37.129.49;
10.37.32.13;D0:94:66:D0:19:15;255.255.255.0;2024-09-19 09:54:23;EDPE3972786;
10.37.82.21;E0:D5:5E:F4:18:49;255.255.255.0;2024-09-19 10:08:01;EDPE3782191;
10.37.80.8;1C:69:7A:ED:7F:D2;255.255.255.0;2024-09-19 09:36:40;EDPE4055627;
10.37.100.72;70:4D:7B:CE:49:E6;255.255.255.0;2024-09-19 09:01:24;10.37.100.72;
10.37.130.15;80:85:44:F9:04:E8;255.255.255.0;2024-09-19 11:39:47;10.37.130.15;
10.37.3.199;D4:3D:7E:7F:54:B6;255.255.255.0;2024-09-19 11:11:30;10.37.3.199;
10.37.1.13;C2:AE:B4:B1:5A:70;255.255.255.0;2024-09-19 11:18:16;SDEPEN0000022;
10.37.44.158;74:27:EA:7A:59:67;255.255.255.0;2024-09-18 20:08:38;COLEGIO8;
10.37.35.8;00:40:A7:2B:B5:96;255.255.255.0;2024-09-19 08:39:45;10.37.35.8;
10.37.136.108;00:40:A7:2B:A5:2F;255.255.255.0;2024-09-19 09:48:13;DESKTOP-6K2SN27;
10.37.69.250;6C:B3:11:5B:8C:11;255.255.255.0;2024-09-18 16:35:02;10.37.69.250;
10.37.54.71;10:62:E5:DC:8B:4B;255.255.255.0;2024-09-18 15:52:14;10.37.54.71;
10.37.76.31;D8:5E:D3:D0:6E:B7;255.255.255.0;2024-09-19 08:37:16;JURÍDICO;
10.37.12.144;D0:94:66:D8:E7:D4;255.255.255.0;2024-09-19 10:19:55;10.37.12.144;
10.37.144.11;00:30:67:99:10:36;255.255.255.0;2024-09-19 09:04:44;EDPE1145653;
10.37.77.113;10:05:01:98:8B:EA;255.255.255.0;2024-09-19 11:23:08;EDPE3126106;
10.37.119.2;2C:F0:5D:4B:A6:62;255.255.255.0;2024-09-19 09:25:35;EDPE3948962;
10.37.52.199;D0:94:66:AB:7C:9F;255.255.255.0;2024-09-19 10:52:41;10.37.52.199;
10.37.26.9;94:DE:80:F7:A6:A3;255.255.255.0;2024-09-19 07:55:29;CFTVDIREÇÃO-PC;
